time	blank	anc1	anc2	anc3	anc4	anc5	anc6	anc7	anc8	anc9	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10
600	0.1255	0.1636	0.16728	0.167	0.16724	0.1668	0.16588	0.16476	0.16946	0.1654	0.1738	0.1744	0.17904	0.17582	0.16396	0.17192	0.1677	0.1712	0.1737	0.17332	0.15774	0.15374	0.15856	0.16394	0.15568	0.15498	0.15588	0.16182	0.15928	0.15512	0.14186	0.14026	0.14484	0.14776	0.14472	0.14702	0.14534	0.14924	0.14686	0.14338
630	0.12556	0.1645	0.16824	0.1678	0.16812	0.16768	0.16666	0.1656	0.1704	0.16638	0.1744	0.17536	0.18006	0.1768	0.16448	0.1725	0.16848	0.17188	0.17412	0.17388	0.1579	0.15402	0.1589	0.1644	0.15572	0.15528	0.1562	0.1623	0.15948	0.15538	0.14184	0.14032	0.145	0.14804	0.14476	0.14716	0.14552	0.14938	0.14682	0.14352
660	0.12552	0.1657	0.16952	0.16884	0.16922	0.16868	0.1678	0.16654	0.17142	0.16742	0.17528	0.17634	0.18074	0.17778	0.16514	0.17338	0.1694	0.17298	0.17558	0.17514	0.1583	0.1542	0.15934	0.16486	0.15584	0.15538	0.15644	0.1626	0.15974	0.15564	0.1417	0.1402	0.14506	0.14832	0.1448	0.1472	0.14566	0.14962	0.14684	0.1437
690	0.12546	0.16644	0.17048	0.16986	0.1701	0.16956	0.1688	0.16746	0.17282	0.1685	0.17618	0.17742	0.18152	0.17884	0.16572	0.17416	0.17044	0.17406	0.1767	0.17634	0.15876	0.15436	0.15976	0.16548	0.15596	0.1556	0.1566	0.16306	0.16018	0.15604	0.14156	0.1401	0.1451	0.1485	0.14488	0.14728	0.1458	0.14978	0.1465	0.14334
720	0.1255	0.16742	0.17162	0.17108	0.17112	0.17076	0.16984	0.1687	0.1742	0.16952	0.17738	0.17874	0.18268	0.17996	0.1667	0.17526	0.17168	0.17514	0.17784	0.17762	0.15918	0.15454	0.16028	0.16612	0.15614	0.15586	0.1569	0.16362	0.16062	0.15634	0.14162	0.14006	0.14528	0.14894	0.14504	0.14746	0.14614	0.15026	0.14694	0.14354
750	0.12566	0.16868	0.17298	0.17234	0.17244	0.17214	0.17158	0.17016	0.17608	0.1711	0.17876	0.18002	0.1842	0.18156	0.16756	0.17648	0.17326	0.17696	0.17956	0.1795	0.15982	0.1549	0.1611	0.16702	0.15642	0.15634	0.15744	0.1643	0.16118	0.15704	0.14176	0.14022	0.14562	0.14946	0.14536	0.14776	0.14662	0.1506	0.14704	0.14398
780	0.12548	0.1696	0.17404	0.17358	0.17344	0.1732	0.17256	0.17128	0.17734	0.17232	0.18	0.18132	0.18524	0.18272	0.16862	0.17766	0.17436	0.17806	0.18068	0.18102	0.16026	0.1552	0.1616	0.16772	0.15646	0.1565	0.15778	0.16484	0.16172	0.15752	0.14146	0.14014	0.14574	0.1498	0.14538	0.14778	0.14684	0.15078	0.14682	0.1437
810	0.12552	0.17076	0.17526	0.17486	0.17472	0.17458	0.17416	0.17276	0.17898	0.17396	0.18074	0.18264	0.1862	0.184	0.16922	0.1786	0.17556	0.17938	0.1822	0.18302	0.1607	0.15558	0.1623	0.16852	0.1568	0.15682	0.15826	0.16544	0.16236	0.158	0.14166	0.14016	0.14608	0.15034	0.14562	0.148	0.14714	0.15124	0.14718	0.1439
840	0.12556	0.17218	0.17702	0.17636	0.17628	0.1762	0.17566	0.17424	0.18078	0.1755	0.18256	0.18416	0.18778	0.1858	0.17054	0.18012	0.17724	0.18132	0.18414	0.1853	0.16164	0.15606	0.1632	0.16974	0.1574	0.15742	0.15904	0.16634	0.16338	0.15884	0.14162	0.14028	0.1465	0.15104	0.14598	0.14846	0.14772	0.15198	0.14742	0.1442
870	0.1256	0.17374	0.17856	0.17782	0.17774	0.17774	0.17718	0.17606	0.18286	0.17718	0.18404	0.18602	0.1892	0.18754	0.17164	0.18164	0.17888	0.18302	0.18608	0.18768	0.16216	0.15648	0.164	0.17078	0.15772	0.15788	0.15976	0.16726	0.16426	0.1597	0.14188	0.14042	0.14696	0.15178	0.1463	0.1488	0.14824	0.15254	0.14802	0.14454
