time	blank	anc1	anc2	anc3	anc4	anc5	anc6	anc7	anc8	anc9	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10
720	0.12816	0.32838	0.35472	0.3631	0.32782	0.3119	0.31048	0.30358	0.30534	0.31048	0.5334	0.5486	0.33404	0.35334	0.55	0.58124	0.50432	0.56236	0.56726	0.60784	0.38922	0.45538	0.44304	0.4762	0.31176	0.31132	0.36722	0.39186	0.46218	0.4119	0.28412	0.28662	0.28428	0.29586	0.23962	0.22962	0.35272	0.35832	0.24594	0.24222
750	0.12814	0.35834	0.38784	0.39706	0.35654	0.33886	0.33742	0.329	0.33202	0.33752	0.59148	0.60882	0.36578	0.3884	0.61064	0.64576	0.56074	0.62468	0.6311	0.67624	0.43256	0.50806	0.495	0.53394	0.34404	0.3433	0.4088	0.43718	0.5172	0.4611	0.31252	0.31538	0.31292	0.32674	0.25998	0.24792	0.3929	0.39998	0.26734	0.26268
780	0.12814	0.39262	0.42516	0.43574	0.3899	0.37054	0.36878	0.35864	0.36234	0.36902	0.65574	0.67416	0.40276	0.42972	0.67754	0.71464	0.62328	0.69142	0.70062	0.75066	0.4826	0.56718	0.55458	0.599	0.3811	0.37994	0.45682	0.48888	0.57904	0.51684	0.34562	0.3491	0.34674	0.36262	0.2846	0.27012	0.44	0.44788	0.29274	0.28686
810	0.1281	0.43054	0.46714	0.47898	0.42756	0.40598	0.40446	0.39202	0.39722	0.40558	0.72522	0.74552	0.4453	0.47684	0.74856	0.78774	0.69122	0.7618	0.77388	0.8291	0.53926	0.63376	0.62012	0.67096	0.4243	0.42258	0.5118	0.54786	0.64682	0.58002	0.38472	0.3886	0.3862	0.40504	0.31336	0.29614	0.49324	0.5023	0.3223	0.3154
840	0.12798	0.47414	0.51468	0.52758	0.47044	0.4465	0.4449	0.4301	0.43756	0.44736	0.79756	0.81946	0.49332	0.52928	0.82264	0.86314	0.76386	0.8331	0.8499	0.90702	0.60324	0.70754	0.69312	0.74684	0.47338	0.47096	0.57348	0.61454	0.72058	0.6509	0.43018	0.43432	0.43266	0.45332	0.3471	0.32634	0.55264	0.56288	0.35712	0.34878
870	0.12798	0.52326	0.56764	0.58112	0.5184	0.4921	0.49028	0.47354	0.48232	0.49438	0.8734	0.89816	0.54828	0.58826	0.8977	0.93996	0.8361	0.90556	0.92586	0.98582	0.6731	0.78532	0.77038	0.82624	0.52948	0.52628	0.64264	0.6878	0.79714	0.72578	0.48212	0.4855	0.4853	0.50826	0.38594	0.36138	0.617	0.62852	0.39726	0.38728
900	0.12798	0.57598	0.62602	0.64022	0.57182	0.54444	0.54112	0.52316	0.53258	0.5471	0.94806	0.97456	0.60862	0.65398	0.97192	1.01418	0.90766	0.97478	1.0006	1.0581	0.74632	0.86472	0.84824	0.90498	0.59138	0.58798	0.71632	0.76524	0.8736	0.80192	0.54012	0.54218	0.5428	0.56788	0.4299	0.40216	0.68366	0.6946	0.44324	0.43092
930	0.12792	0.63468	0.68878	0.70434	0.63002	0.6014	0.59724	0.57774	0.58898	0.60562	1.02016	1.04746	0.67386	0.72524	1.04334	1.0828	0.9752	1.03986	1.06844	1.12278	0.82044	0.943	0.9226	0.98148	0.65802	0.6553	0.79184	0.84464	0.94688	0.87574	0.60136	0.60176	0.60332	0.63002	0.4777	0.44718	0.74928	0.76028	0.49344	0.47922
960	0.12798	0.6986	0.75744	0.77102	0.69274	0.66428	0.6601	0.6373	0.6507	0.66946	1.08598	1.11442	0.74524	0.79988	1.10838	1.14816	1.03848	1.0995	1.12998	1.1811	0.89238	1.01546	0.99122	1.04796	0.72712	0.72622	0.86752	0.92406	1.01296	0.94584	0.66314	0.66204	0.66578	0.69242	0.52862	0.49632	0.809	0.82038	0.54574	0.52916
990	0.12786	0.76582	0.82772	0.84136	0.76018	0.73222	0.72694	0.70218	0.71674	0.73744	1.14634	1.17558	0.8184	0.87744	1.16714	1.2066	1.09466	1.15164	1.18538	1.2329	0.95806	1.0806	1.04878	1.10666	0.79436	0.79732	0.93744	0.99912	1.07178	1.00492	0.72346	0.71906	0.72378	0.75256	0.58126	0.54544	0.86166	0.87588	0.59794	0.57988
