time	blank	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18	Control19	Control20	E6_1	E6_2	E6_3	E6_4	E6_5	E6_6	E6_7	E6_8	E6_9	E6_10	E6_11	E6_12	E6_13	E6_14	E6_15	E6_16	E6_17	E6_18	E6_19	E6_20	E10_1	E10_2	E10_3	E10_4	E10_5	E10_6	E10_7	E10_8	E10_9	E10_10	E10_11	E10_12	E10_13	E10_14	E10_15	E10_16	E10_17	E10_18	E10_19	E10_20
2370	0.15998	1.87916	1.8886	1.8838	1.87546	1.89534	1.88354	1.86504	1.8643	1.83238	1.84838	1.90646	1.9119	1.9029	1.88446	1.90978	1.94658	1.95158	1.92158	1.88316	1.89444	1.68856	1.648	1.6121	1.6206	1.62906	1.60402	1.60272	1.57264	1.62634	1.56836	1.54904	1.612	1.5369	1.56678	1.572	1.58356	1.6158	1.5487	1.56624	1.54956	1.09124	1.0683	1.0613	1.19804	1.10632	1.04386	0.9878	1.00136	1.0969	1.0413	1.11628	1.03482	1.08332	1.03466	1.0115	1.05616	1.06852	0.94218	0.98546	1.0055
2400	0.16	1.8787	1.8884	1.8838	1.87572	1.89538	1.88384	1.86506	1.8643	1.8326	1.849	1.90606	1.91166	1.90306	1.88426	1.90938	1.9473	1.95206	1.9212	1.88248	1.89376	1.68916	1.64818	1.6118	1.62126	1.62916	1.60392	1.60326	1.57234	1.6265	1.56854	1.54924	1.61206	1.53686	1.56654	1.57196	1.58464	1.61554	1.54902	1.56666	1.55008	1.09542	1.0722	1.06624	1.20154	1.11068	1.04674	0.99142	1.0059	1.10242	1.0462	1.11962	1.03904	1.08718	1.03948	1.0164	1.0606	1.07336	0.94714	0.99216	1.0113
2430	0.15992	1.87888	1.88852	1.88332	1.87582	1.8952	1.88356	1.865	1.86428	1.83324	1.8484	1.90592	1.91184	1.90316	1.88462	1.90946	1.94652	1.95226	1.91862	1.88308	1.8943	1.6894	1.64876	1.6131	1.6218	1.62966	1.60432	1.60334	1.5729	1.62686	1.56882	1.54934	1.61228	1.53672	1.5669	1.57214	1.58428	1.61604	1.54962	1.5672	1.55006	1.09918	1.07608	1.0699	1.20438	1.11494	1.05	0.99544	1.01046	1.1077	1.0503	1.12266	1.04356	1.09172	1.04492	1.01982	1.0651	1.07694	0.95118	0.99688	1.01472
2460	0.15994	1.87794	1.88782	1.883	1.87524	1.89422	1.88318	1.8646	1.86364	1.8321	1.84802	1.90606	1.91234	1.9038	1.88408	1.9093	1.94644	1.95308	1.9192	1.88306	1.89488	1.6899	1.6487	1.61326	1.6213	1.62956	1.60466	1.60406	1.57326	1.62684	1.56944	1.54956	1.6133	1.53808	1.56728	1.57294	1.58528	1.61662	1.55006	1.5678	1.55044	1.1041	1.0809	1.07428	1.20792	1.11948	1.05406	0.9989	1.01676	1.11212	1.05416	1.1256	1.04682	1.0955	1.04932	1.02346	1.06966	1.07924	0.95512	1.00146	1.01874
2490	0.15994	1.8783	1.88786	1.88326	1.87498	1.8944	1.88302	1.8647	1.86396	1.83252	1.84888	1.9059	1.91114	1.90294	1.88438	1.90918	1.94732	1.95378	1.91972	1.88296	1.89438	1.68974	1.6489	1.61348	1.62166	1.62932	1.60416	1.60406	1.57334	1.62726	1.5695	1.55058	1.6132	1.53778	1.56742	1.57288	1.58558	1.6173	1.55056	1.5693	1.55142	1.10702	1.08542	1.0773	1.20994	1.12292	1.05668	1.00226	1.02	1.11588	1.05738	1.12736	1.0489	1.09808	1.05192	1.02604	1.0718	1.08184	0.9584	1.0048	1.02212
2520	0.15994	1.87748	1.88752	1.88264	1.87484	1.89428	1.88304	1.86432	1.86352	1.83206	1.84854	1.9061	1.91148	1.90264	1.88422	1.90906	1.94792	1.95456	1.92034	1.88288	1.89424	1.6903	1.64912	1.61344	1.62122	1.62998	1.60482	1.60396	1.5733	1.62752	1.57038	1.5507	1.61346	1.538	1.56806	1.57292	1.58606	1.61708	1.55078	1.56934	1.55206	1.10924	1.08744	1.08008	1.21264	1.12586	1.0588	1.00438	1.02236	1.11928	1.0588	1.13104	1.05238	1.10076	1.05596	1.02944	1.07518	1.08458	0.96196	1.00806	1.0253
2550	0.15994	1.87778	1.88788	1.88288	1.87512	1.8943	1.8828	1.86432	1.86366	1.83234	1.84872	1.90624	1.91128	1.90272	1.88428	1.90886	1.94806	1.95526	1.92032	1.88306	1.89486	1.69054	1.64954	1.614	1.622	1.62978	1.60462	1.60406	1.5732	1.6277	1.57062	1.55124	1.61436	1.5385	1.56816	1.57362	1.58658	1.61748	1.55136	1.56948	1.5527	1.1124	1.09062	1.083	1.21436	1.12896	1.06196	1.0072	1.02538	1.12184	1.0617	1.13362	1.05578	1.1033	1.05902	1.0321	1.07808	1.08696	0.96566	1.01158	1.02806
2580	0.1599	1.87734	1.8877	1.88236	1.87494	1.89396	1.88306	1.86432	1.86366	1.83234	1.8489	1.90598	1.91108	1.90274	1.88424	1.909	1.94826	1.95652	1.91944	1.88286	1.89502	1.69072	1.64984	1.6143	1.62206	1.63036	1.60494	1.60422	1.5735	1.62818	1.57142	1.5515	1.6146	1.53886	1.56818	1.57342	1.58716	1.61694	1.55128	1.57076	1.55314	1.11456	1.09276	1.08576	1.21694	1.1307	1.06368	1.00892	1.02732	1.1252	1.06494	1.1353	1.05874	1.1058	1.06198	1.03416	1.08024	1.08946	0.9681	1.0146	1.03046
2610	0.1599	1.87796	1.88776	1.88284	1.87512	1.89452	1.88322	1.86464	1.864	1.83242	1.84908	1.90602	1.91122	1.90264	1.88422	1.90932	1.94866	1.95686	1.91966	1.88268	1.89474	1.69128	1.6501	1.61468	1.62204	1.63022	1.60538	1.60458	1.574	1.62808	1.57104	1.55198	1.61426	1.53876	1.56852	1.57416	1.58762	1.61804	1.55246	1.57122	1.55416	1.11698	1.09584	1.08838	1.21852	1.13214	1.06636	1.0108	1.03114	1.12722	1.06754	1.13738	1.06128	1.10824	1.0646	1.03746	1.08256	1.09208	0.97136	1.01742	1.03346
2640	0.15986	1.87722	1.88714	1.88208	1.87412	1.8937	1.8819	1.8638	1.86298	1.83212	1.84858	1.90604	1.91056	1.90256	1.88424	1.90948	1.94934	1.95682	1.91892	1.88318	1.89506	1.69138	1.65046	1.61484	1.6224	1.6306	1.6056	1.60496	1.57448	1.62882	1.5719	1.55236	1.61462	1.53872	1.56886	1.57378	1.5877	1.61722	1.55286	1.57186	1.5547	1.11936	1.09816	1.09068	1.22116	1.13544	1.06942	1.01322	1.03486	1.12976	1.06978	1.1394	1.06292	1.11088	1.06712	1.03844	1.08448	1.09386	0.97348	1.01956	1.03528
2670	0.1599	1.87742	1.88752	1.88248	1.8744	1.89412	1.88214	1.86394	1.86318	1.8321	1.84898	1.90604	1.91082	1.90288	1.88444	1.90978	1.9495	1.9584	1.91902	1.88328	1.8952	1.6918	1.65092	1.61522	1.62258	1.63034	1.60632	1.60562	1.57474	1.62974	1.57288	1.55316	1.61544	1.53926	1.56928	1.57432	1.58852	1.61808	1.55318	1.57318	1.55504	1.1212	1.09994	1.0924	1.22198	1.13772	1.07102	1.01474	1.0356	1.13126	1.07134	1.1412	1.06588	1.11372	1.06872	1.04068	1.0875	1.09518	0.97642	1.02258	1.03884
2700	0.15986	1.88046	1.89014	1.88622	1.87736	1.89648	1.88552	1.86718	1.86604	1.8354	1.852	1.90868	1.91276	1.90538	1.88694	1.91222	1.95336	1.96192	1.92218	1.88642	1.89806	1.6934	1.65208	1.61612	1.62374	1.63238	1.60766	1.60658	1.5759	1.6305	1.57336	1.55422	1.61654	1.5407	1.5709	1.57566	1.5904	1.61942	1.5543	1.57392	1.5566	1.12344	1.10244	1.0946	1.22474	1.14024	1.07294	1.01672	1.03826	1.13338	1.07442	1.1432	1.06764	1.11622	1.07182	1.04302	1.0899	1.09732	0.97906	1.02486	1.04094
2730	0.1598	1.87728	1.88714	1.8824	1.87384	1.8937	1.8827	1.86428	1.86346	1.83234	1.8487	1.9059	1.90992	1.9025	1.88512	1.90944	1.9484	1.95796	1.91754	1.8841	1.89528	1.69248	1.65082	1.61528	1.6223	1.63088	1.60642	1.60504	1.57474	1.62912	1.57256	1.55302	1.61616	1.53984	1.5698	1.57546	1.58874	1.61772	1.55354	1.57396	1.55594	1.12554	1.10354	1.09574	1.22626	1.14114	1.07392	1.01782	1.04014	1.1356	1.07654	1.14482	1.06912	1.11822	1.07338	1.04528	1.09124	1.09824	0.98078	1.02702	1.0429
2760	0.15982	1.8773	1.8873	1.88156	1.87398	1.89326	1.88192	1.86336	1.86318	1.83188	1.84888	1.90602	1.91064	1.90326	1.88444	1.9095	1.9486	1.95906	1.91632	1.88366	1.8954	1.69212	1.65106	1.61568	1.62298	1.63056	1.6062	1.60586	1.57522	1.62926	1.57306	1.5539	1.6163	1.54002	1.56988	1.5753	1.58908	1.61876	1.55448	1.5734	1.55666	1.1272	1.10502	1.09802	1.228	1.14282	1.07488	1.01866	1.04138	1.13724	1.07866	1.14704	1.07164	1.12016	1.07506	1.04692	1.093	1.10024	0.9837	1.0292	1.0453
2790	0.15974	1.87682	1.8872	1.88226	1.87426	1.89338	1.88216	1.8637	1.86306	1.83274	1.84952	1.90576	1.91068	1.90332	1.88482	1.91228	1.95156	1.96018	1.91978	1.88356	1.8956	1.69276	1.6517	1.6163	1.62332	1.63062	1.6067	1.6059	1.57546	1.6297	1.57358	1.55478	1.61672	1.54068	1.57052	1.57578	1.59106	1.6199	1.55456	1.57494	1.55732	1.12916	1.10672	1.09954	1.22924	1.14536	1.0768	1.02038	1.04402	1.13948	1.08094	1.1479	1.0729	1.12206	1.07756	1.04854	1.09504	1.10256	0.98574	1.03114	1.0468
2820	0.15974	1.87656	1.8866	1.88124	1.87418	1.89302	1.8813	1.86382	1.86304	1.8319	1.84966	1.90528	1.91022	1.90286	1.8844	1.90958	1.95158	1.96006	1.9181	1.884	1.89534	1.69284	1.65184	1.61668	1.62366	1.63128	1.6071	1.6062	1.5756	1.62994	1.57424	1.55458	1.61672	1.54114	1.57028	1.57578	1.5899	1.61858	1.55438	1.5746	1.55756	1.13174	1.10898	1.10128	1.23118	1.14628	1.07854	1.02268	1.04698	1.14136	1.0831	1.14956	1.07554	1.1242	1.08016	1.05148	1.09702	1.10308	0.98804	1.03358	1.0488
2850	0.15978	1.87678	1.887	1.88196	1.87448	1.8933	1.88184	1.86404	1.86336	1.83268	1.84968	1.90558	1.90998	1.90316	1.88458	1.91072	1.95314	1.9616	1.91948	1.88418	1.89564	1.6933	1.6528	1.61664	1.62428	1.63116	1.6077	1.60636	1.57598	1.63048	1.57458	1.55538	1.617	1.541	1.57094	1.57622	1.59116	1.61954	1.55538	1.57596	1.55852	1.13312	1.10992	1.10234	1.2318	1.14734	1.07918	1.02354	1.04754	1.14242	1.08436	1.15152	1.07828	1.12594	1.0816	1.05442	1.09936	1.10448	0.99076	1.0359	1.0505
