time	blank	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18	Control19	Control20	E6_1	E6_2	E6_3	E6_4	E6_5	E6_6	E6_7	E6_8	E6_9	E6_10	E6_11	E6_12	E6_13	E6_14	E6_15	E6_16	E6_17	E6_18	E6_19	E6_20	E10_1	E10_2	E10_3	E10_4	E10_5	E10_6	E10_7	E10_8	E10_9	E10_10	E10_11	E10_12	E10_13	E10_14	E10_15	E10_16	E10_17	E10_18	E10_19	E10_20
600	0.16158	0.59966	0.66056	0.64514	0.67446	0.65002	0.63454	0.6424	0.65264	0.6615	0.66154	0.57732	0.61764	0.61162	0.59	0.607	0.60092	0.588	0.6226	0.5935	0.55282	0.19696	0.19342	0.1914	0.18958	0.19044	0.18978	0.19014	0.18752	0.19138	0.18934	0.18792	0.18874	0.18636	0.18754	0.18766	0.18986	0.19084	0.18786	0.18842	0.18602	0.1513	0.15246	0.15198	0.15204	0.15212	0.1517	0.15152	0.15302	0.15372	0.15306	0.15306	0.15102	0.15256	0.15182	0.15224	0.15312	0.15342	0.15182	0.15112	0.15244
630	0.1615	0.6812	0.75178	0.73574	0.76418	0.74038	0.72416	0.73078	0.74496	0.75446	0.7493	0.65442	0.6986	0.69026	0.66842	0.687	0.68016	0.66526	0.70118	0.67104	0.6254	0.2012	0.19744	0.19472	0.19308	0.1942	0.19342	0.19352	0.19072	0.19506	0.19276	0.19064	0.19184	0.18934	0.19042	0.19048	0.19288	0.19406	0.1905	0.19134	0.18882	0.15148	0.15274	0.15216	0.15234	0.15238	0.15196	0.15178	0.15314	0.15388	0.1532	0.15332	0.1512	0.1528	0.15208	0.1525	0.15336	0.15366	0.15204	0.15128	0.15262
660	0.16144	0.7717	0.84914	0.83134	0.85792	0.84082	0.82058	0.82478	0.8425	0.8531	0.84834	0.73768	0.78646	0.77566	0.75318	0.77358	0.7671	0.74896	0.78554	0.75254	0.70544	0.20622	0.2022	0.1988	0.19712	0.19868	0.19776	0.1976	0.19466	0.19948	0.19678	0.19392	0.19538	0.19264	0.19374	0.1937	0.19646	0.1978	0.19364	0.19466	0.1921	0.15176	0.1529	0.15242	0.1526	0.1526	0.15224	0.15196	0.15336	0.15418	0.15346	0.15362	0.15148	0.15304	0.15228	0.15278	0.1536	0.15388	0.15224	0.15152	0.15286
690	0.1614	0.86926	0.9498	0.93034	0.95528	0.93468	0.92106	0.92374	0.9429	0.95562	0.9467	0.82798	0.87864	0.86484	0.84278	0.86474	0.85722	0.8385	0.87496	0.83912	0.79196	0.2119	0.20764	0.20338	0.20176	0.20392	0.20266	0.20224	0.1991	0.20462	0.2015	0.1977	0.19966	0.19648	0.19764	0.19748	0.20072	0.20218	0.19728	0.19848	0.1959	0.1521	0.15322	0.15274	0.15298	0.15288	0.15252	0.15226	0.15366	0.15446	0.15374	0.15398	0.15178	0.15342	0.15262	0.15304	0.1539	0.15416	0.1525	0.15176	0.15318
720	0.16142	0.96372	1.0513	1.03038	1.05312	1.03798	1.02294	1.0226	1.05194	1.05874	1.04724	0.92126	0.97232	0.95672	0.93596	0.95862	0.94788	0.92834	0.96494	0.9269	0.88098	0.2186	0.21408	0.20866	0.20714	0.2101	0.20846	0.2077	0.20436	0.21054	0.20682	0.202	0.20448	0.20082	0.20212	0.20168	0.2056	0.2073	0.20158	0.20298	0.2004	0.15246	0.15362	0.15308	0.15342	0.15326	0.15294	0.15266	0.15394	0.1548	0.15412	0.15436	0.15206	0.15382	0.15298	0.1535	0.15436	0.1545	0.15274	0.15204	0.15352
750	0.16146	1.0611	1.15046	1.13148	1.15146	1.13618	1.12352	1.12158	1.1533	1.15996	1.14426	1.01408	1.0654	1.04956	1.0271	1.05086	1.04576	1.02418	1.05868	1.01812	0.97308	0.2265	0.22166	0.21496	0.21362	0.21728	0.21538	0.21426	0.21072	0.21778	0.21346	0.20718	0.21026	0.20596	0.20736	0.20662	0.21124	0.2132	0.20662	0.20828	0.20564	0.15294	0.15406	0.1536	0.15396	0.15378	0.15342	0.15314	0.1544	0.1553	0.15458	0.15492	0.1526	0.15436	0.15352	0.15402	0.15486	0.15504	0.15316	0.15252	0.15404
780	0.1613	1.16248	1.24752	1.22924	1.24686	1.23742	1.22174	1.21812	1.25102	1.25548	1.23882	1.10884	1.1576	1.14052	1.12002	1.14294	1.14114	1.11938	1.14766	1.10586	1.06538	0.23552	0.23032	0.22228	0.22108	0.22558	0.2233	0.22174	0.21778	0.22612	0.22094	0.2128	0.21668	0.2119	0.21314	0.21234	0.21758	0.21996	0.21214	0.21426	0.21144	0.15344	0.15444	0.15396	0.15438	0.15414	0.15388	0.15346	0.15468	0.1557	0.15494	0.1553	0.15294	0.15476	0.15386	0.15438	0.15524	0.15536	0.15354	0.1528	0.15434
810	0.16132	1.25902	1.33912	1.32236	1.33576	1.33054	1.31572	1.30972	1.34258	1.34548	1.32928	1.20152	1.2469	1.22964	1.20884	1.233	1.23552	1.21414	1.23546	1.19378	1.15624	0.24638	0.24068	0.2309	0.2301	0.23558	0.23282	0.23078	0.2263	0.23592	0.23	0.2197	0.22436	0.21868	0.22026	0.21906	0.22502	0.22792	0.21872	0.22128	0.21842	0.15394	0.15508	0.15458	0.1551	0.1548	0.15444	0.15402	0.15514	0.15618	0.1555	0.156	0.15348	0.15532	0.15444	0.15502	0.15592	0.15586	0.15396	0.15326	0.15492
840	0.1613	1.35004	1.42528	1.41026	1.42108	1.41818	1.40318	1.39658	1.42622	1.4279	1.41108	1.2903	1.3347	1.3163	1.29586	1.31954	1.31786	1.29952	1.31696	1.27862	1.24594	0.25886	0.25282	0.24128	0.24046	0.24736	0.24382	0.24146	0.23638	0.24738	0.24048	0.22786	0.23348	0.2267	0.22862	0.22712	0.23406	0.23736	0.22654	0.22966	0.22664	0.15468	0.15574	0.1553	0.1559	0.15544	0.15522	0.15472	0.1558	0.15688	0.15614	0.1568	0.15418	0.15614	0.15518	0.15574	0.15664	0.15656	0.15468	0.15394	0.15562
870	0.16124	1.43538	1.50402	1.49122	1.49938	1.49608	1.48356	1.47542	1.50238	1.49948	1.48544	1.37516	1.4156	1.39746	1.37788	1.40174	1.39918	1.38142	1.39766	1.3591	1.33068	0.27356	0.2671	0.25338	0.25298	0.26122	0.25684	0.25404	0.24818	0.26106	0.25284	0.23714	0.244	0.23616	0.23828	0.23644	0.24438	0.24846	0.2357	0.23932	0.23626	0.15544	0.15644	0.15602	0.15668	0.15622	0.15602	0.15554	0.15644	0.15756	0.15682	0.1576	0.1549	0.1569	0.15594	0.15656	0.15746	0.15726	0.1553	0.15454	0.15634
900	0.16126	1.5123	1.57514	1.5629	1.56888	1.56674	1.55576	1.5459	1.56962	1.5629	1.55114	1.45486	1.49114	1.47376	1.4537	1.48148	1.48036	1.4632	1.4773	1.4353	1.4104	0.2912	0.28388	0.2675	0.26772	0.27752	0.2724	0.26876	0.26212	0.27754	0.26762	0.24804	0.25638	0.24702	0.24948	0.24734	0.25658	0.26126	0.24626	0.25044	0.24734	0.15632	0.15736	0.15688	0.15772	0.15708	0.15698	0.15634	0.15724	0.1584	0.15766	0.15866	0.15574	0.15794	0.15684	0.15748	0.15846	0.1581	0.15606	0.15528	0.15718
930	0.16114	1.58088	1.63826	1.6268	1.63112	1.62996	1.61978	1.60772	1.62998	1.6206	1.60932	1.52794	1.56154	1.54402	1.52346	1.55012	1.5557	1.53938	1.54966	1.50576	1.48414	0.31144	0.30346	0.28398	0.28474	0.2963	0.29034	0.28612	0.2783	0.29618	0.28462	0.2609	0.27072	0.25978	0.2624	0.25988	0.27066	0.27588	0.25844	0.26354	0.26032	0.15734	0.15828	0.15786	0.15886	0.1581	0.15804	0.15726	0.15802	0.15926	0.15854	0.15974	0.15666	0.15894	0.1578	0.15844	0.15942	0.15902	0.15692	0.15608	0.15808
960	0.16108	1.6436	1.69718	1.68648	1.68994	1.6896	1.679	1.66538	1.68556	1.67218	1.66324	1.59516	1.62782	1.60946	1.59048	1.61334	1.62524	1.60996	1.61506	1.57162	1.5518	0.33498	0.32598	0.30306	0.30492	0.31854	0.3108	0.30602	0.29714	0.31844	0.30452	0.27606	0.28758	0.27468	0.27756	0.2747	0.287	0.29278	0.27298	0.27908	0.27552	0.15854	0.15942	0.15902	0.16016	0.1593	0.1593	0.15844	0.15904	0.16042	0.15964	0.16114	0.15784	0.1602	0.15904	0.1597	0.16068	0.1601	0.15796	0.15714	0.15924
990	0.16108	1.70236	1.75216	1.74138	1.74022	1.74368	1.73422	1.71824	1.73598	1.71862	1.71276	1.65888	1.68746	1.67028	1.64958	1.67368	1.68878	1.67376	1.67624	1.63178	1.61478	0.3625	0.35256	0.3257	0.32798	0.34392	0.33474	0.32888	0.31962	0.34446	0.3275	0.29352	0.30708	0.29194	0.2952	0.29196	0.30568	0.31256	0.28998	0.29716	0.29324	0.15998	0.1608	0.16042	0.1618	0.16068	0.16068	0.1598	0.1602	0.16168	0.16092	0.16266	0.15922	0.1617	0.16042	0.16114	0.1622	0.16146	0.1591	0.15822	0.16056
1020	0.16098	1.75502	1.79922	1.7899	1.78668	1.79172	1.78334	1.76496	1.7798	1.7574	1.75536	1.71798	1.74468	1.72716	1.7073	1.73034	1.74344	1.73042	1.72804	1.68804	1.6747	0.39528	0.38342	0.35214	0.35488	0.37378	0.3633	0.35592	0.3452	0.37522	0.35438	0.31376	0.33012	0.31212	0.31582	0.31208	0.32826	0.33588	0.3096	0.31798	0.31392	0.16158	0.16228	0.16196	0.1635	0.16222	0.16228	0.16134	0.16156	0.1631	0.16236	0.16448	0.16078	0.1634	0.162	0.1628	0.1639	0.1629	0.16046	0.15952	0.16208
